h1_close_time,direction,trigger_high,trigger_low,prev_high,prev_low,range_pips
2022-01-03 14:00:00+00:00,bullish,115.166,114.946,115.14,115.049,9.1
2022-01-03 16:00:00+00:00,bearish,115.366,115.259,115.334,115.137,19.7
2022-01-03 17:00:00+00:00,bullish,115.336,115.241,115.366,115.259,10.7
2022-01-03 18:00:00+00:00,bearish,115.337,115.257,115.336,115.241,9.5
2022-01-03 20:00:00+00:00,bullish,115.335,115.26,115.323,115.267,5.6
2022-01-03 22:00:00+00:00,bearish,115.356,115.31,115.348,115.263,8.5
2022-01-04 02:00:00+00:00,bearish,115.484,115.341,115.433,115.289,14.4
2022-01-04 07:00:00+00:00,bullish,115.802,115.704,115.8,115.741,5.9
2022-01-04 08:00:00+00:00,bullish,115.8,115.653,115.802,115.704,9.8
2022-01-04 10:00:00+00:00,bearish,115.888,115.791,115.853,115.71,14.3
2022-01-04 17:00:00+00:00,bullish,116.165,115.953,116.258,116.037,22.1
2022-01-04 20:00:00+00:00,bullish,116.179,116.079,116.182,116.088,9.4
2022-01-05 04:00:00+00:00,bullish,116.011,115.899,116.057,115.954,10.3
2022-01-05 06:00:00+00:00,bearish,116.1,115.989,116.08,115.952,12.8
2022-01-05 08:00:00+00:00,bullish,116.043,115.91,116.029,115.967,6.2
2022-01-05 09:00:00+00:00,bullish,116.043,115.864,116.043,115.91,13.3
2022-01-05 14:00:00+00:00,bearish,115.934,115.736,115.808,115.644,16.4
2022-01-05 16:00:00+00:00,bearish,115.847,115.712,115.831,115.672,15.9
2022-01-05 18:00:00+00:00,bearish,116.001,115.907,115.974,115.764,21.0
2022-01-06 00:00:00+00:00,bearish,116.134,116.082,116.133,116.066,6.7
2022-01-06 03:00:00+00:00,bullish,115.954,115.819,116.097,115.907,19.0
2022-01-06 04:00:00+00:00,bearish,115.963,115.85,115.954,115.819,13.5
2022-01-06 05:00:00+00:00,bullish,115.898,115.826,115.963,115.85,11.3
2022-01-06 06:00:00+00:00,bearish,115.974,115.84,115.898,115.826,7.2
2022-01-06 07:00:00+00:00,bullish,115.9,115.785,115.974,115.84,13.4
2022-01-06 08:00:00+00:00,bearish,115.951,115.85,115.9,115.785,11.5
2022-01-06 10:00:00+00:00,bullish,115.799,115.656,115.913,115.67,24.3
2022-01-06 13:00:00+00:00,bearish,115.879,115.775,115.878,115.754,12.4
2022-01-06 15:00:00+00:00,bearish,115.865,115.72,115.852,115.696,15.6
2022-01-06 16:00:00+00:00,bullish,115.805,115.624,115.865,115.72,14.5
2022-01-06 17:00:00+00:00,bearish,115.818,115.688,115.805,115.624,18.1
2022-01-06 18:00:00+00:00,bearish,115.833,115.758,115.818,115.688,13.0
2022-01-06 21:00:00+00:00,bearish,115.952,115.863,115.95,115.811,13.9
2022-01-06 23:00:00+00:00,bullish,115.851,115.834,115.936,115.84,9.6
2022-01-07 03:00:00+00:00,bullish,115.937,115.829,115.975,115.87,10.5
