entry_time,exit_time,direction,entry,stop,target,r_dist,realized_r,exit_reasons,k6_taken
2022-01-05 01:15:00+00:00,2022-01-05 01:45:00+00:00,bullish,116.114,115.948,116.258,0.166,-1.157,stop,True
2022-01-05 05:45:00+00:00,2022-01-05 08:30:00+00:00,bullish,115.994,115.893,116.057,0.101,-1.257,stop,False
2022-01-06 14:15:00+00:00,2022-01-06 14:15:00+00:00,bearish,115.816,115.886,115.754,0.07,0.514,target,False
2022-01-07 07:30:00+00:00,2022-01-07 07:45:00+00:00,bullish,115.875,115.825,115.975,0.05,-0.16,partial_1|stop,False
2022-01-10 01:45:00+00:00,2022-01-10 02:00:00+00:00,bearish,115.637,115.671,115.553,0.034,-1.765,stop,False
2022-01-11 04:30:00+00:00,2022-01-11 04:30:00+00:00,bullish,115.287,115.166,115.302,0.121,-0.058,target,False
2022-01-12 09:15:00+00:00,2022-01-12 09:45:00+00:00,bullish,115.316,115.226,115.355,0.09,0.144,target,False
2022-01-12 12:00:00+00:00,2022-01-12 13:30:00+00:00,bullish,115.357,115.284,115.448,0.073,0.144,partial_1|stop,False
2022-01-13 23:30:00+00:00,2022-01-13 23:30:00+00:00,bullish,114.128,114.043,114.151,0.085,0.176,target,False
2022-01-14 12:15:00+00:00,2022-01-14 12:30:00+00:00,bullish,113.766,113.736,114.026,0.03,0.37,partial_1|partial_2|stop,False
2022-01-18 23:30:00+00:00,2022-01-19 00:00:00+00:00,bearish,114.596,114.649,114.508,0.053,-1.491,stop,False
2022-01-20 00:45:00+00:00,2022-01-20 00:45:00+00:00,bullish,114.278,114.203,114.298,0.075,0.867,partial_1|target,False
2022-01-20 11:15:00+00:00,2022-01-20 14:00:00+00:00,bearish,114.346,114.351,114.022,0.005,15.76,partial_1|partial_2|target,False
2022-01-20 21:45:00+00:00,2022-01-20 22:00:00+00:00,bullish,114.078,113.993,114.266,0.085,0.329,partial_1|stop,False
2022-01-21 11:15:00+00:00,2022-01-21 12:15:00+00:00,bullish,113.835,113.728,113.996,0.107,-1.243,stop,False
2022-01-21 17:00:00+00:00,2022-01-23 23:15:00+00:00,bullish,113.689,113.603,113.851,0.086,0.198,partial_1|stop,False
2022-01-24 05:45:00+00:00,2022-01-24 05:45:00+00:00,bullish,113.887,113.791,113.907,0.096,-1.271,stop,False
2022-01-26 05:15:00+00:00,2022-01-26 05:15:00+00:00,bullish,113.886,113.772,113.898,0.114,-0.123,target,False
2022-01-27 07:00:00+00:00,2022-01-27 07:15:00+00:00,bullish,114.627,114.468,114.69,0.159,0.233,target,True
2022-02-01 20:00:00+00:00,2022-02-01 21:45:00+00:00,bearish,114.774,114.899,114.653,0.125,0.76,target,False
2022-02-04 11:15:00+00:00,2022-02-04 12:00:00+00:00,bullish,114.888,114.809,114.966,0.079,-1.329,stop,False
2022-02-09 08:00:00+00:00,2022-02-09 08:00:00+00:00,bullish,115.393,115.392,115.593,0.001,-27.0,stop,False
2022-02-11 00:45:00+00:00,2022-02-11 00:45:00+00:00,bullish,116.052,115.922,116.12,0.13,0.462,target,False
2022-02-14 12:30:00+00:00,2022-02-14 12:30:00+00:00,bearish,115.402,115.602,115.398,0.2,1.125,partial_1|target,True
2022-02-15 07:30:00+00:00,2022-02-15 07:30:00+00:00,bearish,115.342,115.436,115.335,0.094,0.106,target,False
2022-02-15 17:00:00+00:00,2022-02-15 17:00:00+00:00,bullish,115.632,115.471,115.645,0.161,-0.081,target,True
2022-02-16 01:45:00+00:00,2022-02-16 02:45:00+00:00,bullish,115.643,115.622,115.745,0.021,0.062,partial_1|partial_2|stop,False
2022-02-16 19:00:00+00:00,2022-02-16 19:00:00+00:00,bullish,115.455,115.397,115.542,0.058,-1.448,stop,False
2022-02-17 00:45:00+00:00,2022-02-17 01:00:00+00:00,bearish,115.452,115.487,115.389,0.035,-0.271,partial_1|stop,False
2022-02-18 18:15:00+00:00,2022-02-18 20:15:00+00:00,bullish,115.024,114.962,115.148,0.062,0.081,partial_1|stop,False
